,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,1537670264,77.48,-69.36,16.14,100,0,10.22
1,Busselton,AU,1537670264,-33.64,115.35,62.67,97,44,4.97
2,Ushuaia,AR,1537668000,-54.81,-68.31,33.8,80,75,11.41
3,Tasiilaq,GL,1537667400,65.61,-37.64,33.8,74,0,5.82
4,Kodiak,US,1537667580,39.95,-94.76,55.04,86,1,5.19
5,Bredasdorp,ZA,1537668000,-34.53,20.04,41.0,93,0,2.24
6,Tuatapere,NZ,1537670266,-46.13,167.69,47.33,100,76,16.26
7,Vila Franca do Campo,PT,1537668000,37.72,-25.43,71.6,88,40,4.7
8,Hobart,AU,1537668240,-42.88,147.33,46.4,75,75,19.46
9,Port Alfred,ZA,1537670267,-33.59,26.89,60.47,100,24,7.2
10,Makakilo City,US,1537667820,21.35,-158.09,84.02,63,75,8.05
11,Karpogory,RU,1537670267,64.0,44.44,60.29,82,0,7.99
12,Puerto Ayora,EC,1537670268,-0.74,-90.35,69.56,100,0,11.01
13,Jamestown,AU,1537670071,-33.21,138.6,69.47,34,36,6.2
14,East London,ZA,1537670268,-33.02,27.91,66.41,100,92,11.79
15,Sao Joao da Barra,BR,1537670268,-21.64,-41.05,72.35,100,0,5.86
16,Chokurdakh,RU,1537670117,70.62,147.9,35.72,97,92,5.75
17,Bluff,AU,1537670269,-23.58,149.07,82.47,29,0,11.23
18,Thompson,CA,1537668000,55.74,-97.86,24.8,73,5,3.4
19,Price,US,1537667580,39.6,-110.81,73.94,4,1,2.73
20,Fairbanks,US,1537668360,64.84,-147.72,48.02,96,90,3.36
21,Saint-Philippe,CA,1537668000,45.36,-73.48,50.0,66,1,6.93
22,Tocopilla,CL,1537670271,-22.09,-70.2,55.88,100,12,3.62
23,Laguna,MX,1537666800,27.52,-110.01,87.8,70,5,5.82
24,Geraldton,CA,1537668000,49.72,-86.95,35.6,93,90,4.7
25,Cidreira,BR,1537670271,-30.17,-50.22,69.92,84,24,10.67
26,Khatanga,RU,1537670271,71.98,102.47,46.07,95,92,3.51
27,Kapaa,US,1537667760,22.08,-159.32,87.08,79,40,10.29
28,Ballina,IE,1537670272,54.11,-9.15,44.22,92,88,5.64
29,Narsaq,GL,1537667400,60.91,-46.05,48.2,29,92,24.16
30,Pedernales,EC,1537670272,0.07,-80.05,72.71,91,36,6.64
31,Yellowknife,CA,1537668000,62.45,-114.38,44.6,56,20,13.87
32,Mareeba,AU,1537668000,-16.99,145.42,73.4,69,75,16.11
33,Murwillumbah,AU,1537668000,-28.33,153.4,73.4,53,0,13.87
34,Trat,TH,1537664400,12.25,102.51,84.2,79,20,2.24
35,Inuvik,CA,1537668000,68.36,-133.71,41.0,80,90,4.7
36,Rincon,US,1537668900,32.3,-81.24,78.8,74,20,4.29
37,Grimmen,DE,1537669200,54.11,13.04,46.4,93,20,6.93
38,Manzanillo,CU,1537670275,20.34,-77.12,82.7,100,20,12.24
39,Albany,US,1537667640,42.65,-73.75,53.96,74,75,1.28
40,Sabang,PH,1537670211,13.72,123.58,81.98,92,88,8.99
41,Carnarvon,ZA,1537670276,-30.97,22.13,37.43,63,12,6.2
42,Itoman,JP,1537668000,26.12,127.67,87.62,70,40,9.17
43,Hasaki,JP,1537668000,35.73,140.83,80.6,69,75,8.05
44,Christchurch,NZ,1537668000,-43.53,172.64,55.4,76,24,14.99
45,Rikitea,PF,1537670277,-23.12,-134.97,71.09,100,92,7.09
46,Mayahi,NE,1537670277,13.95,7.67,72.71,77,24,2.17
47,Cape Town,ZA,1537668000,-33.93,18.42,55.4,76,0,13.87
48,Mogocha,RU,1537670277,53.73,119.76,47.15,51,0,6.98
49,Alta Floresta,BR,1537670278,-9.87,-56.08,75.05,87,56,0.83
50,Port Elizabeth,US,1537667760,39.31,-74.98,66.02,67,90,6.93
51,Warrnambool,AU,1537670162,-38.38,142.48,52.77,94,24,12.35
52,Sao Filipe,CV,1537670279,14.9,-24.5,78.83,94,12,14.7
53,Mataura,NZ,1537670279,-46.19,168.86,45.71,95,92,14.7
54,Zhigansk,RU,1537670279,66.77,123.37,41.84,87,64,3.85
55,Mount Isa,AU,1537668000,-20.73,139.49,86.0,22,0,13.87
56,Vaini,IN,1537670280,15.34,74.49,71.9,92,48,2.73
57,Tuktoyaktuk,CA,1537668000,69.44,-133.03,26.6,100,90,16.11
58,Punta Arenas,CL,1537668000,-53.16,-70.91,28.4,79,20,6.93
59,Bria,CF,1537670280,6.54,21.99,67.13,89,0,1.83
60,Nurobod,UZ,1537668000,40.91,69.8,59.0,54,0,9.17
61,Graham,US,1537669200,36.07,-79.4,77.0,84,1,5.53
62,Malaga,AU,1537668000,-31.86,115.89,69.8,56,0,4.7
63,Akdepe,TM,1537668000,42.05,59.39,57.2,82,0,4.7
64,San Francisco,US,1537667760,37.78,-122.42,78.08,83,40,16.11
65,Souillac,FR,1537668000,45.6,-0.6,66.2,93,90,5.82
66,Atuona,PF,1537670282,-9.8,-139.03,79.82,100,0,8.32
67,Coquimbo,CL,1537668000,-29.95,-71.34,53.6,93,75,3.36
68,Coahuayana,MX,1537670283,18.62,-100.35,69.74,84,32,1.95
69,Lebu,ET,1537664400,8.96,38.73,60.8,55,75,6.93
70,Hami,CN,1537670284,42.84,93.51,64.11,41,76,4.74
71,Lithgow,AU,1537668000,-33.48,150.16,71.6,37,40,5.82
72,Okha,RU,1537670285,53.59,142.95,57.41,72,0,2.95
73,Mackenzie,CA,1537668000,55.34,-123.09,42.8,56,1,2.24
74,Bastia,IT,1537667400,44.6,8.98,71.6,78,0,5.82
75,Dalvik,SE,1537669200,57.79,14.13,46.4,87,92,13.87
76,Husavik,CA,1537670286,50.56,-96.99,40.26,97,88,11.12
77,Avarua,CK,1537668000,-21.21,-159.78,77.0,61,75,14.99
78,North Platte,US,1537667580,41.12,-100.77,69.08,43,1,10.29
79,Ahar,IR,1537670139,38.48,47.07,47.15,99,88,2.17
80,Jacareacanga,BR,1537670287,-6.22,-57.76,77.21,90,24,1.95
81,Hilo,US,1537667580,19.71,-155.08,82.04,67,40,6.93
82,Zhezkazgan,KZ,1537668000,47.8,67.71,42.8,81,64,8.95
83,Ostrovnoy,RU,1537670288,68.05,39.51,48.59,84,20,17.83
84,Kavieng,PG,1537670288,-2.57,150.8,86.66,99,8,5.19
85,Hithadhoo,MV,1537670288,-0.6,73.08,83.82,100,56,5.53
86,Kupang,ID,1537668000,-10.16,123.6,91.4,46,20,12.75
87,Nikolskoye,RU,1537668000,59.7,30.79,48.2,87,0,6.71
88,Puerto Colombia,CO,1537668000,10.99,-74.96,80.6,94,75,9.17
89,Mugur-Aksy,RU,1537670289,50.38,90.44,43.73,66,0,2.95
90,Lompoc,US,1537667760,34.64,-120.46,64.4,86,90,5.82
91,Kloulklubed,PW,1537667400,7.04,134.26,84.2,74,90,19.46
92,Port Lincoln,AU,1537670290,-34.72,135.86,59.66,90,24,14.25
93,Aiken,US,1537668900,33.56,-81.72,80.96,78,1,3.36
94,Saint-Francois,FR,1537668000,46.42,3.91,68.0,56,0,3.36
95,Pevek,RU,1537670291,69.7,170.27,44.36,100,76,2.17
96,Amahai,ID,1537670291,-3.31,129.0,79.14,100,56,8.32
97,Port Hedland,AU,1537668000,-20.31,118.58,86.0,30,0,8.05
98,Hermanus,ZA,1537670292,-34.42,19.24,33.29,96,0,2.73
99,Cayenne,GF,1537668000,4.94,-52.33,78.8,88,0,3.36
100,Kirakira,SB,1537670292,-10.46,161.92,81.17,100,20,13.91
101,Xiaoshi,CN,1537670292,30.59,116.63,74.15,70,76,7.65
102,Deputatskiy,RU,1537670127,69.3,139.9,34.91,71,0,3.96
103,Chiredzi,ZW,1537670004,-21.05,31.67,63.8,81,0,9.22
104,Loviisa,FI,1537669200,60.46,26.23,48.2,87,0,5.82
105,Port Antonio,JM,1537668000,18.18,-76.45,84.2,62,20,3.36
106,Rio Gallegos,AR,1537668000,-51.62,-69.22,35.6,100,90,4.7
107,Clyde River,CA,1537668000,70.47,-68.59,23.0,100,90,12.75
108,Rocha,UY,1537670294,-34.48,-54.34,65.82,98,92,2.84
109,Dikson,RU,1537670294,73.51,80.55,41.61,90,92,12.24
